OBJECTID,EPA Region,EPA Program,EPA ID,Site Name,Feature Class,Feature Type,Feature Name,Feature Description,Last Change Date,Original Creation Date,Feature Source,Feature Info URL,Feature Info URL Description,Projection Used,GIS Area,GIS Area Units,Data Disclaimer,Site Info URL,Site NPL Status,Site Federal Facility Determination,Site Address,Site Address Comment,Site City,Site County,Site State,Site Zip,Site RPM,Site RPM Phone,Site RPM Email,ORIG_FID,POINT_X,POINT_Y
1,1,Superfund Remedial,CTD001452093,DURHAM MEADOWS,5,Extent of Contamination,Approximate Durham Meadows Site Boundary,"The Site is located in the town of Durham in Middlesex County, Connecticut. The outer limits of the Site are defined by the about-100-acre extent of the groundwater contamination. The Site is generally centered around DMC, a currently operating manufacturing facility at 201 Main Street, and the former location of MMC at 281 Main Street. DMC was established in 1922 at 201 and 203R Main Street in Durham. ",2022-12-31,2016-12-31 16:00,U.S. EPA Region 1,https://semspub.epa.gov/src/document/01/100018870,,WGS84,137.1964009,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/durham,F,N,MAIN ST,,DURHAM,MIDDLESEX,CT,06422,Ed Hathaway,(617) 918-1372,Hathaway.Ed@epa.gov,1,-72.67979197,41.47646165
2,1,Superfund Remedial,VTD000860239,OLD SPRINGFIELD LANDFILL,5,OU Boundary Aggregation,Approximate Old Springfield Landfill Site Boundary,"The 10-acre Site is located approximately 1 mile southeast of the center of the Town of Springfield, Windsor County, Vermont. Springfield is located in the Connecticut River Valley in the southeastern quadrant of Vermont, south of Hanover, New Hampshire and west of Interstate 91. The Villages of Goulds Mill and Hardscrabble Corner are located within a 1 mile radius of the Site. The Site is located on an upland plateau with slopes descending steeply to the north, east, and west. Seavers Brook runs west of the Site and the Black River runs to the east. Seavers Brook flows northward to the Black River, which flows south and discharges into the Connecticut River. Will Dean Road is located along the western side of the Site. Will Dean Road intersects Seavers Brook Road approximately 1,000 feet north of the Site entrance; Seavers Brook Road intersects Vermont Route 11 (aka Charlestown Road) approximately 1,800 feet north of the Site entrance. Route 11 runs along the eastern side of the Site.",2022-12-31,2016-12-31 16:00,U.S. EPA Region 1,https://semspub.epa.gov/work/01/100010168.pdf,5th Five Year Review,WGS84,37.62930602,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/oldspringfield,F,N,WILL DEAN RD,,SPRINGFIELD,WINDSOR,VT,05156,Benjamin Kuhaneck,(617) 918-1296,kuhaneck.benjamin@epa.gov,2,-72.46495075,43.2733179
3,1,Superfund Remedial,VTD981062441,PARKER SANITARY LANDFILL,5,Comprehensive Site Area,Approximate Parker Sanitary Landfill Site Boundary,"The Parker Sanitary Landfill site is located in Lyndonville, Vermont. A solid waste landfill operated on site from 1972 until 1992. Before 1983, a large amount of hazardous waste (liquids and sludge) was disposed of at this location and were poured/placed directly onto the ground. These activities led to groundwater contamination and affected private wells in the area. Following construction of the site’s remedy, operation and maintenance activities and groundwater treatment and monitoring are ongoing. This boundary includes the area that currently exceeds IGCLs and is managed by the LFG system.",2022-12-31,2016-12-31 16:00,"U.S. EPA Region 1, 2021 Annual Monitoring Report, Figure 8, Page 86",SEMS Document ID # 100021296,2021 Monitoring Rpt,WGS84,158.9177854,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/parker,F,N,LILY POND RD.,,LYNDON,CALEDONIA,VT,05849,Lisa Danek Burke,(617) 918-1206,danekburke.lisa@epa.gov,3,-71.99203241,44.51673428
4,1,Superfund Remedial,VTD980523062,PINE STREET CANAL,5,Comprehensive Site Area,Approximate Pine Street Canal Site Boundary,"Pine Street Canal Superfund Site (sometimes referred to as the “Barge Canal”) is located in the south end of Burlington, VT, adjacent to Pine Street and Lake Champlain. The Site includes a historic canal and turning basin that were used for lumber storage and hauling activities and is surrounded by active commercial and industrial operations and some vacant properties along Pine Street. It is a PRP-lead cleanup that primarily includes the management of the migration of contaminants generated from the operation of a manufactured gas plant. This boundary includes all properties located within the site boundaries.",2022-12-31,2016-12-31 16:00,U.S. EPA Region 1,SEMS Document ID # 100019664,2021 FYR,WGS84,39.40088889,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/pinestreet,F,N,PINE STREET,,BURLINGTON,CHITTENDEN,VT,05401,Mark Habedank,(617) 918-1312,Habedank.Mark@epa.gov,4,-73.21699979,44.46535665
5,1,Superfund Remedial,NHD980671069,SOUTH MUNICIPAL WATER SUPPLY WELL,5,Comprehensive Site Area,Approximate South Municipal Water Supply Well Site,"The Site encompasses approximately 250 acres that includes the South Municipal Well and
nearby commercial and residential properties located along Sharon Road; portions of the
Contoocook River and U.S. Route 202; the 24 acre New Hampshire Ball Bearings, Inc. (NHBB)
property, and adjacent wetlands and undeveloped parcels.",2022-12-31,2016-12-31 16:00,U.S. EPA Region 1,https://semspub.epa.gov/work/01/469091.pdf,2010 ROD Amendment,WGS84,101.4705104,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/southmuni,F,N,RT. 202,,PETERBOROUGH,HILLSBOROUGH,NH,03458,Valerie Jurgens,(617) 918-1346,jurgens.valerie@epa.gov,5,-71.9650759,42.85148711
6,1,Superfund Remedial,NHD981889629,MOHAWK TANNERY,5,Comprehensive Site Area,Approximate Mohawk Tannery Site Boundary,"The former Mohawk Tannery facility (a.k.a. Granite State Leathers) is located on approximately 30 acres in Nashua, Hillsborough County, New Hampshire. The currently inactive facility produced tanned hides for leather between 1924 and 1984. This Site boundary includes the former Mohawk Tannery parcels. The proposed removal action additionally includes the adjacent Fimbel Door parcel and City Right-of-Way.",2022-12-31,2016-12-31 16:00,U.S. EPA Region 1,https://semspub.epa.gov/work/01/100016016.pdf,2020 AM Addendum,WGS84,30.6932557,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/mohawk,P,N,FAIRMONT STREET,,NASHUA,HILLSBOROUGH,NH,03060,Valerie Jurgens,(617) 918-1346,jurgens.valerie@epa.gov,6,-71.48620505,42.7655905
7,1,Superfund Remedial,MAD079510780,CANNON ENGINEERING CORP. (CEC),5,OU Boundary Aggregation,Approximate Cannon Engineering Corp. Site Boundary,"The CEC Bridgewater Superfund Site is comprised of seven acres, located on First Street in a small industrial park in the western part of the Town of Bridgewater, Massachusetts. The Site contained a former facility to handle, store, and incinerate chemical wastes. The Site contains one Operable Unit – Site wide, which includes a Management of Migration component of the remedy for groundwater and also a Source Control component of the remedy for soil.",2022-12-31,2016-12-31 16:00,"U.S. EPA Region 1, Sixth Five Year Review, 2020, ",https://sems.epa.gov/work/1655472129263/01-100015023.pdf,Sixth Five Year Revi,WGS84,6.803237666,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/cannon,D,N,FIRST ST,,BRIDGEWATER,PLYMOUTH,MA,02324,Derrick Golden,(617) 918-1448,Golden.Derrick@epa.gov,7,-71.02484948,41.97222316
8,1,Superfund Remedial,MAD980732341,HOCOMONCO POND,5,Comprehensive Site Area,Approximate Hocomonco Pond Site Boundary,"The Hocomonco Site is approximately 23-acre in size and is located off Otis Street, in the Town of Westborough, Worcester County, Massachusetts. Wood treating operations were conducted between 1928 and 1946 and Site activities consisted of saturating wood products, with creosote to preserve them.  The Site contains one Operable Unit (OU): Sitewide and this boundary consists of one Sitewide OU.",2022-12-31,2016-12-31 16:00,"U.S. EPA Region 1, Fourth Five Year Review, 2019",https://sems.epa.gov/work/1655214809427/01-100012246.pdf,Fourth Five Year Rev,WGS84,19.6424528,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/hocomonco,F,N,FISHER ST,,WESTBOROUGH,WORCESTER,MA,01581,Derrick Golden,(617) 918-1448,Golden.Derrick@epa.gov,8,-71.64606518,42.27251338
9,1,Superfund Remedial,CTD001153923,LINEMASTER SWITCH CORP.,5,Current Ground Boundary,Approximate Linemaster Switch Corp. Site Boundary,"The Linemaster Switch site is a 45 acre parcel that operates as a 45,525 square foot facility where electrical power switches are produced. Prior to 1952 the site was used for residential purposes and small-scale farming. As part of the manufacturing operations, TCE was used between 1969 and 1979 as a parts degreaser. Other chemicals were used and some of these chemicals were reportedly released to a dry well located directly east of the production facility. The boundary includes the site and three additional parcels owned by the Linemaster facility.  ",2022-12-31,2016-12-31 16:00,Unknown,,,WGS84,92.00542625,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/linemaster,F,N,29 PLAINE HILL ROAD,,WOODSTOCK,WINDHAM,CT,06281,John Bryant,(617) 918-1375,Bryant.John@epa.gov,9,-71.96648749,41.93993275
10,1,Superfund Remedial,MAD980731335,NEW BEDFORD,5,Comprehensive Site Area,Approximate New Bedford Harbor Site Boundary,"The New Bedford Harbor Superfund Site is defined as the 18,000 acres covered by the three state Fish Closure Areas.",2022-12-31,2016-12-31 16:00,U.S. EPA Region 1,https://semspub.epa.gov/work/01/100015007.pdf,5 Year Review 2020,WGS84,19380.01857,Acres,"The Agency is providing this geospatial information as a public service and does not vouch for the accuracy, completeness, or currency of data. Data provided by external parties is not independently verified by EPA. This data is made available to the public strictly for informational purposes. Data does not represent EPA's official position, viewpoint, or opinion, express or implied. This information is not intended for use in establishing liability or calculating Cost Recovery Statutes of Limitations and cannot be relied upon to create any rights, substantive or procedural, enforceable by any party in litigation with the United States or third parties. EPA reserves the right to change these data at any time without public notice.",www.epa.gov/superfund/newbedford,F,N,ACUSHNET ESTUARY,,NEW BEDFORD,BRISTOL,MA,02740,Dave Dickerson,(617) 918-1329,dickerson.dave@epa.gov,10,-70.89580683,41.57567787
